date,volatility_score,momentum_score,cryptobert_score_100,Greed_Fear_Normalized,fear_greed_index
2024-09-29,87.3972602739726,34.80875298137981,53.4,33.00709158626905,52.153276210405366
2024-10-06,97.02544031311156,28.44878403561125,84.01,39.603590938415785,62.27195382178465
2024-10-13,94.7945205479452,52.34164167485348,73.59625,42.21629787807914,65.73717752521945
2024-10-20,94.59882583170256,48.89154051735255,63.1825,39.20286901515453,61.46893384105241
2024-10-27,92.21135029354208,39.03511834826492,66.1875,35.575821863584764,58.252447626347944
2024-11-03,72.4853228962818,52.67680687011421,63.12,42.68853325226086,57.74266575466422
2024-11-10,44.38356164383561,76.36161376518918,72.52000000000001,43.62063783086573,59.22145330997263
2024-11-17,37.3385518590998,50.55020768041816,69.15833333333335,67.43959221234017,56.12167127129787
2024-11-24,32.87671232876712,53.94192495457238,75.83076923076922,62.98316511210717,56.40814290655397
2024-12-01,34.87279843444227,60.10275567987318,78.13375,61.60808285981394,58.67934674353235
2024-12-08,42.27005870841487,48.72244546619787,81.74166666666666,89.94462000875463,65.66969771250851
2024-12-15,42.348336594911935,37.290591931968265,68.15599999999999,38.59481127205085,46.59743494973276
2024-12-22,48.18003913894324,21.21811147348247,82.342,44.81297594081204,49.13828163830944
2024-12-29,66.53620352250489,33.60920768830641,72.17444444444445,43.57217646765746,53.97300803072831
2025-01-05,72.4853228962818,42.50262415079736,45.34666666666667,43.00726130507019,50.835468754704
2025-01-12,66.57534246575342,37.31010950461638,61.583333333333336,44.349576998784286,52.45459057562185
2025-01-19,66.65362035225048,42.86849754218067,74.37083333333334,72.92892756682853,64.20546969864826
2025-01-26,66.22309197651664,34.13563905987968,70.295,12.868121876934095,45.8804632283326
2025-02-02,50.09784735812133,24.483530107534563,69.66625,27.00356397540912,42.81279786026626
2025-02-09,59.92172211350294,21.052763171356577,73.10071428571429,41.64049129911605,48.928922717422466
2025-02-16,82.73972602739727,37.96874912089412,56.85117647058824,34.19198340044676,52.9379087548316
2025-02-23,52.01565557729941,33.13234559945461,72.49307692307693,29.20898513044377,46.712515807568685
2025-03-02,17.02544031311154,26.07199150645545,64.38181818181819,36.47530054563211,35.98863763675432
2025-03-09,3.874755381604698,22.565463618238518,63.02625,35.674654516513385,31.28528087908915
2025-03-16,2.270058708414873,27.939529623619755,62.46181818181819,41.29813092775541,33.492384360402056
2025-03-23,7.9843444227005875,43.17597306403236,63.98133333333333,38.43492141144823,38.39414305787862
2025-03-30,38.35616438356164,32.69986699038979,64.36533333333333,44.99730802551222,45.104668183199244
2025-04-06,28.767123287671232,26.59249077094004,70.38375,34.124894209674515,39.967064567071446
2025-04-13,22.622309197651663,29.564525957919948,58.87555555555556,40.80575670819954,37.967036854831676
2025-04-20,15.107632093933464,51.18454836070013,70.905,41.536141363471664,44.68333045452632
2025-04-27,20.273972602739725,57.29260567279449,77.14999999999999,37.66163084876511,48.094552281074826
2025-05-04,19.726027397260275,66.54003003732046,78.209,59.39267799801162,55.966933858148096
2025-05-11,8.258317025440315,81.9626374464337,77.6590909090909,47.28142298810134,53.790367092266564
2025-05-18,10.371819960861057,50.55232991049486,61.98,38.58904522808718,40.37329877486077
2025-05-25,13.268101761252447,41.31505907966198,64.69538461538461,35.49362249471065,38.69304198775242
2025-06-01,13.502935420743638,36.985323262549166,79.32,45.37398663337779,43.79556132916765
2025-06-08,74.71624266144815,47.26920700928948,61.45230769230769,57.45887983373205,60.22415929919435
2025-06-15,80.78277886497064,35.63557460531145,75.62222222222222,37.57073565192064,57.40282783610624
2025-06-22,65.40117416829746,29.402860212223924,81.88499999999999,44.168154339114,55.21429717990884
2025-06-29,60.156555772994125,43.06340374130137,71.86125,56.93414895351937,58.00383961695371
2025-07-06,66.4187866927593,61.28259984443647,73.27052631578948,64.61952643330946,66.39785982157368
2025-07-13,64.81409001956946,83.1999330525067,72.4115625,85.4873603690371,76.47823648527832
2025-07-20,81.91780821917807,76.2069940961895,71.315,74.41417430760006,75.9634941557419
2025-07-27,84.77495107632093,48.201902734132105,71.05239999999999,0.0,51.00731345261326
2025-08-03,75.30332681017613,41.62886245355526,71.14827586206897,76.20621444698659,66.07166989319674
2025-08-10,60.54794520547945,70.28772340288012,67.86194444444445,100.0,74.67440326320101
2025-08-17,41.83953033268102,50.47046448050928,69.084375,59.93616818602701,55.33263449980432
2025-08-24,18.94324853228963,42.496772629651005,72.4042105263158,62.99716485840279,49.2103491366648
2025-08-31,24.227005870841484,32.74114651892401,70.02923076923076,78.85616411498435,51.46338681849515
2025-09-07,30.29354207436399,39.10299578455641,61.051538461538456,50.10426828800877,45.138086152116905
2025-09-14,37.22113502935421,48.40439074950965,74.75083333333333,68.29187664613372,57.167058939582724
2025-09-21,93.03326810176124,31.50693472655675,69.78076923076922,75.17996640257087,67.37523461541451
2025-09-28,91.324200913242,28.93099164966313,69.78076923076922,52.78092150139917,60.70422082376838
