date,volatility_score,momentum_score,finbert_score_100,Greed_Fear_Normalized,fear_greed_index
2024-09-29,87.3972602739726,34.80875298137981,50.26,33.00709158626905,51.36827621040536
2024-10-06,97.02544031311156,28.44878403561125,94.3,39.603590938415785,64.84445382178465
2024-10-13,94.7945205479452,52.34164167485348,63.9925,42.21629787807914,63.33624002521945
2024-10-20,94.59882583170256,48.89154051735255,33.685,39.20286901515453,54.09455884105241
2024-10-27,92.21135029354208,39.03511834826492,33.3775,35.575821863584764,50.049947626347944
2024-11-03,72.4853228962818,52.67680687011421,46.35833333333333,42.68853325226086,53.55224908799755
2024-11-10,44.38356164383561,76.36161376518918,44.835,43.62063783086573,52.30020330997263
2024-11-17,37.3385518590998,50.55020768041816,36.25333333333334,67.43959221234017,47.89542127129786
2024-11-24,32.87671232876712,53.94192495457238,51.13999999999999,62.98316511210717,50.23545059886167
2024-12-01,34.87279843444227,60.10275567987318,52.93125,61.60808285981394,52.378721743532346
2024-12-08,42.27005870841487,48.72244546619787,61.075,89.94462000875463,60.50303104584184
2024-12-15,42.348336594911935,37.290591931968265,50.627,38.59481127205085,42.21518494973276
2024-12-22,48.18003913894324,21.21811147348247,60.36,44.81297594081204,43.64278163830944
2024-12-29,66.53620352250489,33.60920768830641,57.7,43.57217646765746,50.35439691961719
2025-01-05,72.4853228962818,42.50262415079736,46.82666666666666,43.00726130507019,51.205468754704
2025-01-12,66.57534246575342,37.31010950461638,29.494444444444444,44.349576998784286,44.43236835339964
2025-01-19,66.65362035225048,42.86849754218067,51.51541666666666,72.92892756682853,58.49161553198158
2025-01-26,66.22309197651664,34.13563905987968,41.223,12.868121876934095,38.6124632283326
2025-02-02,50.09784735812133,24.483530107534563,49.28,27.00356397540912,37.71623536026625
2025-02-09,59.92172211350294,21.052763171356577,53.67,41.64049129911605,44.07124414599389
2025-02-16,82.73972602739727,37.96874912089412,43.334117647058825,34.19198340044676,49.55864404894924
2025-02-23,52.01565557729941,33.13234559945461,40.54615384615385,29.20898513044377,38.72578503833791
2025-03-02,17.02544031311154,26.07199150645545,44.166363636363634,36.47530054563211,30.934774000390682
2025-03-09,3.874755381604698,22.565463618238518,30.8025,35.674654516513385,23.22934337908915
2025-03-16,2.270058708414873,27.939529623619755,49.18090909090909,41.29813092775541,30.172157087674783
2025-03-23,7.9843444227005875,43.17597306403236,40.10666666666667,38.43492141144823,32.42547639121196
2025-03-30,38.35616438356164,32.69986699038979,50.80866666666667,44.99730802551222,41.71550151653258
2025-04-06,28.767123287671232,26.59249077094004,48.928125,34.124894209674515,34.60315831707145
2025-04-13,22.622309197651663,29.564525957919948,37.29444444444445,40.80575670819954,32.5717590770539
2025-04-20,15.107632093933464,51.18454836070013,48.783,41.536141363471664,39.15283045452632
2025-04-27,20.273972602739725,57.29260567279449,58.93,37.66163084876511,43.539552281074826
2025-05-04,19.726027397260275,66.54003003732046,57.78433333333333,59.39267799801162,50.86076719148143
2025-05-11,8.258317025440315,81.9626374464337,62.34909090909091,47.28142298810134,49.96286709226656
2025-05-18,10.371819960861057,50.55232991049486,53.42999999999999,38.58904522808718,38.235798774860775
2025-05-25,13.268101761252447,41.31505907966198,56.32846153846154,35.49362249471065,36.60131121852165
2025-06-01,13.502935420743638,36.985323262549166,59.15555555555555,45.37398663337779,38.75445021805654
2025-06-08,74.71624266144815,47.26920700928948,47.95461538461538,57.45887983373205,56.84973622227127
2025-06-15,80.78277886497064,35.63557460531145,50.99333333333333,37.57073565192064,51.24560561388402
2025-06-22,65.40117416829746,29.402860212223924,50.345,44.168154339114,47.32929717990885
2025-06-29,60.156555772994125,43.06340374130137,59.24,56.93414895351937,54.84852711695372
2025-07-06,66.4187866927593,61.28259984443647,57.46,64.61952643330946,62.44522824262631
2025-07-13,64.81409001956946,83.1999330525067,57.7596875,85.4873603690371,72.81526773527831
2025-07-20,81.91780821917807,76.2069940961895,50.1365,74.41417430760006,70.6688691557419
2025-07-27,84.77495107632093,48.201902734132105,50.004,0.0,45.74521345261326
2025-08-03,75.30332681017613,41.62886245355526,57.00689655172414,76.20621444698659,62.536325065610534
2025-08-10,60.54794520547945,70.28772340288012,51.67472222222222,100.0,70.62759770764545
2025-08-17,41.83953033268102,50.47046448050928,57.21,59.93616818602701,52.364040749804325
2025-08-24,18.94324853228963,42.496772629651005,61.216842105263154,62.99716485840279,46.41350703140164
2025-08-31,24.227005870841484,32.74114651892401,53.59615384615385,78.85616411498435,47.35511758772592
2025-09-07,30.29354207436399,39.10299578455641,53.59769230769231,50.10426828800877,43.27462461365537
2025-09-14,37.22113502935421,48.40439074950965,52.3475,68.29187664613372,51.5662256062494
2025-09-21,93.03326810176124,31.50693472655675,39.43538461538461,75.17996640257087,59.78888846156837
2025-09-28,91.324200913242,28.93099164966313,39.43538461538461,52.78092150139917,53.11787466992223
